;Y;X;Hoehe;Dbasal;Dbrust;Cones;Alter;;;;;;;;;;;
376;79.8;64;650;12.73;8.28;1;148;;;;;;;;;;;
377;79.8;80;650;12.73;8.28;1;148;;;;;;;;;;;
378;79.8;96;650;12.73;8.28;1;148;;;;;;;;;;;
379;49.8;0;650;12.73;8.28;1;148;;;;;;;;;;;
380;49.8;16;650;12.73;8.28;1;148;;;;;;;;;;;
381;49.8;32;650;12.73;8.28;1;148;;;;;;;;;;;
382;49.8;48;650;12.73;8.28;1;148;;;;;;;;;;;
383;49.8;64;650;12.73;8.28;1;148;;;;;;;;;;;
384;49.8;80;650;12.73;8.28;1;148;;;;;;;;;;;
385;49.8;96;650;12.73;8.28;1;148;;;;;;;;;;;
386;19.8;0;650;12.73;8.28;1;148;;;;;;;;;;;
387;19.8;16;650;12.73;8.28;1;148;;;;;;;;;;;
388;19.8;32;650;12.73;8.28;1;148;;;;;;;;;;;
389;19.8;48;650;12.73;8.28;1;148;;;;;;;;;;;
390;19.8;64;650;12.73;8.28;1;148;;;;;;;;;;;
391;19.8;80;650;12.73;8.28;1;148;;;;;;;;;;;
392;19.8;96;650;12.73;8.28;1;148;;;;;;;;;;;
393;76.2;6.8;450;13.69;8.91;1;153;;;;;;;;;;;
394;76.2;22.8;450;13.69;8.91;1;153;;;;;;;;;;;
395;76.2;38.8;450;13.69;8.91;1;153;;;;;;;;;;;
396;76.2;54.8;450;13.69;8.91;1;153;;;;;;;;;;;
397;76.2;70.8;450;13.69;8.91;1;153;;;;;;;;;;;
398;76.2;86.8;450;13.69;8.91;1;153;;;;;;;;;;;
399;46.2;6.8;450;13.69;8.91;1;153;;;;;;;;;;;
400;46.2;22.8;450;13.69;8.91;1;153;;;;;;;;;;;
401;46.2;38.8;450;13.69;8.91;1;153;;;;;;;;;;;
402;46.2;54.8;450;13.69;8.91;1;153;;;;;;;;;;;
403;46.2;70.8;450;13.69;8.91;1;153;;;;;;;;;;;
404;46.2;86.8;450;13.69;8.91;1;153;;;;;;;;;;;
