Jan_prc Feb_prc Mar_prc Apr_prc Mai_prc Jun_prc Jul_prc Aug_prc Sep_prc Okt_prc Nov_prc Dez_prc
19.88 21.01 15.71 11.07 33.03 31.2 34.58 23.06 20.74 31.72 27.77 22.9
9.68 23.01 7.51 8.97 9.83 23.8 16.88 30.36 40.24 25.72 24.87 10.5
15.38 20.91 9.31 11.97 12.53 41.6 51.58 30.46 37.14 25.22 20.87 11.8
21.78 19.31 11.71 15.57 16.13 61.4 88.38 32.96 35.74 26.02 17.97 14.1
24.68 31.51 21.31 8.77 36.43 22 81.28 66.06 29.54 24.72 30.27 13.7
8.98 7.31 7.81 18.77 22.03 46 30.28 64.16 30.64 31.42 18.77 18.4
7.68 13.21 16.61 12.97 14.13 17.2 95.78 56.86 45.04 23.12 16.27 13.3
11.58 20.41 9.01 9.37 12.23 53.1 57.58 94.06 57.44 46.92 37.37 17.1
17.88 9.11 10.61 14.27 21.23 101.4 39.88 19.16 25.84 42.82 21.87 9.5
7.68 12.31 7.41 19.17 7.63 26.7 42.68 29.96 37.94 21.42 29.47 33.6
6.18 16.01 13.21 21.67 27.23 15 67.88 28.96 63.84 25.52 30.17 18.5
13.88 8.21 12.01 28.17 22.53 16.9 33.68 62.06 19.44 68.62 30.07 45.2
21.78 10.41 8.91 15.37 11.73 32.8 58.88 66.76 46.84 31.92 22.77 19.6
16.88 10.31 16.31 14.17 18.23 26.9 41.48 55.76 29.64 41.12 20.57 16
20.68 27.61 10.41 4.77 34.43 17 57.98 69.76 57.54 35.42 44.67 18.1
27.28 11.21 11.61 11.07 42.83 25.1 67.78 98.76 34.14 38.32 28.07 15.9
33.68 17.31 13.91 11.57 17.63 56 43.38 47.76 34.84 39.42 27.87 33.5
23.38 12.31 19.51 20.47 14.23 24.4 64.68 52.56 59.24 23.32 28.77 11.8
42.08 8.71 7.21 11.27 21.13 74.7 51.08 61.36 41.04 51.72 38.77 19.5
41.18 19.91 22.21 14.97 12.53 36.9 75.68 53.46 25.34 37.52 21.87 21.3
20.58 21.61 16.31 11.77 33.93 33.1 36.78 25.36 22.54 33.12 28.87 23.8
10.38 23.61 8.11 9.67 10.73 25.7 19.08 32.66 42.04 27.12 25.97 11.4
14.78 16.01 11.11 13.97 16.83 26.3 32.48 32.46 50.14 23.52 18.77 14
17.78 7.11 13.01 17.07 21.33 23.3 41.48 27.56 54.64 17.02 9.57 14.9
16.38 15.21 7.11 11.07 23.43 39.9 25.08 86.56 40.64 26.62 12.67 13.4
12.88 19.81 14.41 13.07 11.33 38.5 19.18 25.16 44.04 22.02 24.97 25.6
11.18 10.91 9.01 9.07 9.63 98.5 43.58 80.66 47.94 26.42 20.27 33.9
13.58 12.01 25.11 14.77 29.83 35.2 72.78 20.06 50.24 42.22 18.77 8.1
26.68 20.71 17.21 21.57 24.93 37.7 35.58 34.06 34.84 32.42 13.97 13.3
13.68 24.61 18.31 15.57 19.43 25.3 79.78 39.16 29.24 35.82 37.97 20.6
14.78 34.81 25.41 11.67 34.03 101.7 38.98 44.06 40.44 45.52 13.47 30
23.58 6.11 14.31 11.87 15.43 65.1 35.48 35.46 40.14 27.02 10.97 19.1
16.68 12.91 9.71 16.37 35.63 62.9 74.48 37.56 51.84 31.12 26.37 31
19.18 18.31 14.01 19.07 13.93 25.8 21.78 61.26 45.04 26.52 37.57 25
9.78 10.91 21.11 19.37 12.93 39.3 71.48 58.96 32.34 38.42 10.07 37.8
12.48 16.21 9.41 13.77 15.43 47.8 38.78 30.36 35.84 17.32 24.37 27.5
10.08 4.41 10.71 9.67 20.53 46.3 85.48 42.06 50.84 39.02 25.67 17.1
16.88 13.11 4.71 20.87 11.33 23.5 26.18 69.46 24.84 33.62 34.97 32.4
33.68 18.91 9.31 5.97 28.53 20.1 13.18 64.16 37.64 29.52 24.77 12.5
17.98 25.71 24.91 14.97 10.23 26.9 27.28 81.16 25.44 47.82 33.17 13.3
12.68 10.11 18.11 17.27 13.53 31.1 41.78 59.86 54.04 19.62 47.27 12.7
