Jan_tmp Feb_tmp Mar_tmp Apr_tmp Mai_tmp Jun_tmp Jul_tmp Aug_tmp Sep_tmp Okt_tmp Nov_tmp Dez_tmp
-35.6 -36.5 -24.8 -16.5 -8.2 0.5 15.6 11.5 2.5 -12.6 -30.6 -28.2
-34.1 -19.8 -31.6 -20.2 -9 2.9 14.1 10.5 4.9 -10.8 -21.9 -27.3
-29.7 -29.3 -27.2 -19.8 -8.6 5.6 13 10 0.1 -10.9 -21.9 -32.8
-28.9 -29.7 -25.2 -15 -8.4 4 13.7 11.4 2.6 -10.6 -27.5 -36.1
-40.3 -34.6 -19.7 -17.5 -7.6 3.2 11.6 8.6 3.3 -12 -24.8 -34
-34.8 -38.5 -31.4 -18.9 -5.4 9.5 11.9 8.2 1.7 -14.4 -27.9 -22.9
-36.4 -27.5 -21.1 -18.5 -7.9 11.1 15.3 13.2 3.1 -11.6 -25.2 -31.3
-31.6 -36.1 -31.1 -20.6 -7.9 2.3 15.9 6.3 -0.9 -16.4 -33.6 -38.1
-33.2 -34.6 -26.9 -20.6 -4.3 9.9 13.9 11.3 -3.5 -19.7 -33.1 -34.8
-34.1 -36.2 -29.6 -18.7 -2.9 8.1 13.7 9.9 -2 -16.1 -27.1 -33.4
-34 -36.7 -31.2 -15.6 -0.5 7.4 14.7 9.6 0.6 -11.4 -20.1 -30.8
-30.3 -25 -24.7 -15.2 -4.4 9.3 15.3 9.5 4.3 -11 -23 -29.4
-27.2 -34 -17.8 -10.9 -2.2 7.9 13.1 10.7 3.5 -9.9 -23 -25.1
-30.1 -36.2 -24.8 -14.1 -1.8 7.9 12.6 9.3 0.5 -11.8 -22.2 -33.7
-25.3 -35.9 -29.6 -13.3 -6 7.6 14.5 9.1 3.6 -8 -23.6 -36.8
-26.3 -32.8 -26.1 -17 -3.9 5.8 10.6 9.9 2.2 -9 -23.2 -30.8
-26.3 -42.3 -26.6 -12.8 -7 5.9 11.9 8.8 1.6 -8.5 -26.7 -32.6
-30 -27.5 -26.7 -22.2 -7 5.6 15.6 8 0.6 -15.2 -24.5 -26.8
-28.8 -30.6 -27.4 -17 -3.6 7.6 12.5 6.5 4.1 -11.5 -24.1 -28.1
-36 -38.5 -33.6 -18.4 -8.2 3.2 11.8 7.4 1.6 -13.3 -23.2 -30.2
-30.7 -37 -25.8 -16.4 -4.4 8 11.3 12 3.9 -12 -29.9 -26.1
-40.4 -35.3 -21.1 -20.1 -9.4 9.9 13.8 10.7 -2.2 -13.6 -25.9 -33.3
-39.6 -35.1 -29.3 -23.6 -4.8 10 14.6 10.3 1.7 -12.9 -17 -25.1
-33 -28.6 -27.6 -15.7 -5.1 4.7 12.7 12.3 0.4 -14.6 -28 -37.4
-35.2 -24.8 -32.1 -18.3 -4.6 5.9 12.8 8.6 0.6 -13.5 -24.6 -27
-34.7 -36.3 -24.5 -19.5 -8.3 5 11.9 12 -2.6 -19.8 -30.5 -32.7
-33.8 -36.4 -25.8 -9.2 -2.9 5.5 13.6 7.6 4 -6.7 -29.2 -34.5
-35.4 -29.9 -24.2 -18.7 -1.2 1.7 13.7 7.9 -2.8 -11.8 -19.8 -35.9
-31.5 -26.1 -25.2 -15.5 -8.7 4 13.2 11.2 0.1 -11.7 -27.3 -32.2
-33.1 -27 -25.1 -19.3 -9.3 4.9 13.7 9 0.4 -15.5 -23.7 -29.6
-34.3 -27.6 -24.6 -22.9 -9.6 6 14.5 7.1 1.1 -19.1 -19.8 -26.7
-22.9 -39.3 -35.1 -18.2 -9.5 6.1 13.6 8.7 -0.2 -13.3 -29.5 -37.6
-35.7 -34.6 -28.5 -16.8 -7.8 7 11.4 11 -1.5 -11.4 -26.7 -24.5
-36 -29.3 -24 -12.4 -5 6.2 17.2 6.1 0.1 -13.1 -24.8 -27.7
-37.8 -29.2 -32.2 -19.5 -7.1 4 10.3 6.6 2.9 -15.9 -29.2 -36.7
-38.8 -37.2 -33.8 -19 -8.3 2.6 10.7 6.4 4.1 -7.4 -26.5 -28
-36.3 -35.6 -29.4 -19.4 -5.6 5.8 11.8 7.3 1.1 -13.7 -30.4 -30.5
-32 -31.4 -22.6 -16.8 -6.7 0.7 11.2 7.7 3.5 -7.5 -29.9 -25.3
-31.1 -36.5 -26.6 -20.9 -6.3 3.9 14 9.2 3.7 -7.8 -17.1 -30.7
-34.4 -35.9 -25 -16.9 -3.1 4.6 13.5 8.5 -0.0999999999999999 -6.4 -26.2 -29.3
-39.2 -37.4 -28.2 -18.2 -8.6 3.8 13.9 6.3 -1.9 -11.1 -29.8 -37.5
